SEASON_ID_x,Player_ID,Game_ID,GAME_DATE_x,MATCHUP_x,WL_x,MIN_x,FGM_x,FGA_x,FG_PCT_x,FG3M_x,FG3A_x,FG3_PCT_x,FTM_x,FTA_x,FT_PCT_x,OREB_x,DREB_x,REB_x,AST_x,STL_x,BLK_x,TOV_x,PF_x,PTS_x,PLUS_MINUS_x,VIDEO_AVAILABLE,PTS/48,SEASON_ID_y,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE_y,MATCHUP_y,WL_y,MIN_y,PTS_y,FGM_y,FGA_y,FG_PCT_y,FG3M_y,FG3A_y,FG3_PCT_y,FTM_y,FTA_y,FT_PCT_y,OREB_y,DREB_y,REB_y,AST_y,STL_y,BLK_y,TOV_y,PF_y,PLUS_MINUS_y
22018,201566,0021800832,"FEB 09, 2019",OKC @ HOU,W,38,8,21,0.381,1,5,0.2,4,5,0.8,0,12,12,11,2,1,10,3,21,2,1,26.526315789473685,22018,1610612760.0,OKC,Oklahoma City Thunder,0021800832,2019-02-09,OKC @ HOU,W,240.0,117.0,40.0,89.0,0.449,13.0,34.0,0.382,24.0,30.0,0.8,12.0,41.0,53.0,20.0,7.0,5.0,19.0,24.0,5.0
22018,201566,0021800815,"FEB 07, 2019",OKC vs. MEM,W,33,5,16,0.313,1,4,0.25,4,6,0.667,1,12,13,15,4,0,1,3,15,18,1,21.818181818181817,22018,1610612760.0,OKC,Oklahoma City Thunder,0021800815,2019-02-07,OKC vs. MEM,W,240.0,117.0,43.0,90.0,0.478,17.0,44.0,0.386,14.0,22.0,0.636,11.0,33.0,44.0,29.0,17.0,2.0,11.0,25.0,22.0
22018,201566,0021800802,"FEB 05, 2019",OKC vs. ORL,W,36,5,14,0.357,0,2,0.0,6,10,0.6,1,14,15,16,1,1,7,3,16,9,1,21.333333333333332,22018,1610612760.0,OKC,Oklahoma City Thunder,0021800802,2019-02-05,OKC vs. ORL,W,240.0,132.0,46.0,92.0,0.5,13.0,30.0,0.433,27.0,37.0,0.73,8.0,41.0,49.0,25.0,11.0,2.0,17.0,25.0,10.0
22018,201566,0021800788,"FEB 03, 2019",OKC @ BOS,L,37,8,19,0.421,1,3,0.333,5,8,0.625,2,10,12,16,2,0,4,4,22,-5,1,28.54054054054054,22018,1610612760.0,OKC,Oklahoma City Thunder,0021800788,2019-02-03,OKC @ BOS,L,239.0,129.0,45.0,92.0,0.489,14.0,35.0,0.4,25.0,34.0,0.735,11.0,31.0,42.0,25.0,12.0,5.0,11.0,18.0,-5.0
22018,201566,0021800772,"FEB 01, 2019",OKC @ MIA,W,32,6,10,0.6,0,1,0.0,2,5,0.4,1,11,12,14,1,1,4,0,14,11,1,21.0,22018,1610612760.0,OKC,Oklahoma City Thunder,0021800772,2019-02-01,OKC @ MIA,W,239.0,118.0,44.0,91.0,0.484,16.0,30.0,0.533,14.0,19.0,0.737,13.0,37.0,50.0,23.0,10.0,4.0,15.0,20.0,16.0
22018,201566,0021800751,"JAN 29, 2019",OKC @ ORL,W,38,7,12,0.583,1,2,0.5,8,12,0.667,1,13,14,14,0,1,5,3,23,-3,1,29.05263157894737,22018,1610612760.0,OKC,Oklahoma City Thunder,0021800751,2019-01-29,OKC @ ORL,W,239.0,126.0,49.0,91.0,0.538,9.0,21.0,0.429,19.0,26.0,0.731,6.0,37.0,43.0,25.0,7.0,8.0,7.0,16.0,9.0
22018,201566,0021800738,"JAN 27, 2019",OKC vs. MIL,W,36,5,20,0.25,2,5,0.4,1,2,0.5,1,12,13,11,1,1,4,3,13,-11,1,17.333333333333332,22018,1610612760.0,OKC,Oklahoma City Thunder,0021800738,2019-01-27,OKC vs. MIL,W,240.0,118.0,44.0,94.0,0.468,16.0,32.0,0.5,14.0,25.0,0.56,11.0,41.0,52.0,29.0,5.0,10.0,11.0,21.0,6.0
22018,201566,0021800717,"JAN 24, 2019",OKC vs. NOP,W,37,9,19,0.474,1,3,0.333,4,8,0.5,1,16,17,16,2,0,4,3,23,14,1,29.83783783783784,22018,1610612760.0,OKC,Oklahoma City Thunder,0021800717,2019-01-24,OKC vs. NOP,W,240.0,122.0,50.0,101.0,0.495,14.0,32.0,0.438,8.0,16.0,0.5,14.0,43.0,57.0,33.0,8.0,2.0,14.0,15.0,6.0
22018,201566,0021800703,"JAN 22, 2019",OKC vs. POR,W,37,9,20,0.45,1,4,0.25,10,12,0.833,2,8,10,14,1,0,5,4,29,5,1,37.62162162162162,22018,1610612760.0,OKC,Oklahoma City Thunder,0021800703,2019-01-22,OKC vs. POR,W,241.0,123.0,43.0,85.0,0.506,11.0,23.0,0.478,26.0,33.0,0.788,9.0,28.0,37.0,26.0,16.0,4.0,10.0,20.0,9.0
22018,201566,0021800691,"JAN 21, 2019",OKC @ NYK,W,29,6,12,0.5,1,2,0.5,4,5,0.8,3,7,10,9,0,0,3,3,17,22,1,28.137931034482754,22018,1610612760.0,OKC,Oklahoma City Thunder,0021800691,2019-01-21,OKC @ NYK,W,241.0,127.0,45.0,83.0,0.542,15.0,29.0,0.517,22.0,27.0,0.815,10.0,39.0,49.0,26.0,7.0,2.0,18.0,31.0,18.0
22018,201566,0021800678,"JAN 19, 2019",OKC @ PHI,W,37,8,21,0.381,1,6,0.167,4,7,0.571,3,7,10,6,1,0,4,6,21,9,1,27.243243243243242,22018,1610612760.0,OKC,Oklahoma City Thunder,0021800678,2019-01-19,OKC @ PHI,W,239.0,117.0,41.0,93.0,0.441,12.0,31.0,0.387,23.0,26.0,0.885,11.0,34.0,45.0,20.0,10.0,6.0,10.0,24.0,2.0
