SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
22018,1610612760,OKC,Oklahoma City Thunder,0021800738,2019-01-27,OKC vs. MIL,W,240,118,44,94,0.468,16,32,0.5,14,25,0.56,11,41,52,29,5,10,11,21,6.0
22018,1610612760,OKC,Oklahoma City Thunder,0021800717,2019-01-24,OKC vs. NOP,W,240,122,50,101,0.495,14,32,0.438,8,16,0.5,14,43,57,33,8,2,14,15,6.0
22018,1610612760,OKC,Oklahoma City Thunder,0021800703,2019-01-22,OKC vs. POR,W,241,123,43,85,0.506,11,23,0.478,26,33,0.788,9,28,37,26,16,4,10,20,9.0
22018,1610612760,OKC,Oklahoma City Thunder,0021800691,2019-01-21,OKC @ NYK,W,241,127,45,83,0.542,15,29,0.517,22,27,0.815,10,39,49,26,7,2,18,31,18.0
22018,1610612760,OKC,Oklahoma City Thunder,0021800678,2019-01-19,OKC @ PHI,W,239,117,41,93,0.441,12,31,0.387,23,26,0.885,11,34,45,20,10,6,10,24,2.0
22018,1610612760,OKC,Oklahoma City Thunder,0021800670,2019-01-17,OKC vs. LAL,L,265,128,41,104,0.394,22,54,0.407,24,36,0.667,15,29,44,31,10,4,15,22,-10.0
22018,1610612760,OKC,Oklahoma City Thunder,0021800653,2019-01-15,OKC @ ATL,L,240,126,43,94,0.457,9,32,0.281,31,41,0.756,15,25,40,22,16,3,12,18,-16.0
22018,1610612760,OKC,Oklahoma City Thunder,0021800634,2019-01-12,OKC vs. SAS,W,240,122,43,93,0.462,11,23,0.478,25,29,0.862,7,40,47,27,10,5,7,16,10.0
22018,1610612760,OKC,Oklahoma City Thunder,0021800619,2019-01-10,OKC @ SAS,L,291,147,58,114,0.509,15,35,0.429,16,24,0.667,14,35,49,33,8,5,13,24,-7.0
22018,1610612760,OKC,Oklahoma City Thunder,0021800603,2019-01-08,OKC vs. MIN,L,240,117,43,85,0.506,12,30,0.4,19,26,0.731,10,33,43,22,4,5,16,30,-2.0
22018,1610612760,OKC,Oklahoma City Thunder,0021800588,2019-01-06,OKC vs. WAS,L,240,98,38,88,0.432,10,25,0.4,12,19,0.632,7,34,41,22,8,3,14,17,-18.0
22018,1610612760,OKC,Oklahoma City Thunder,0021800575,2019-01-04,OKC @ POR,W,242,111,40,94,0.426,8,25,0.32,23,26,0.885,11,38,49,18,9,6,10,21,2.0
22018,1610612760,OKC,Oklahoma City Thunder,0021800562,2019-01-02,OKC @ LAL,W,239,107,40,105,0.381,7,31,0.226,20,31,0.645,17,47,64,22,8,5,11,24,7.0
22018,1610612760,OKC,Oklahoma City Thunder,0021800547,2018-12-31,OKC vs. DAL,W,241,122,46,103,0.447,6,24,0.25,24,35,0.686,11,35,46,22,13,3,10,30,20.0
22018,1610612760,OKC,Oklahoma City Thunder,0021800539,2018-12-30,OKC @ DAL,L,241,103,40,93,0.43,9,38,0.237,14,21,0.667,7,32,39,17,15,2,11,23,-2.0
22018,1610612760,OKC,Oklahoma City Thunder,0021800525,2018-12-28,OKC @ PHX,W,240,118,51,95,0.537,7,20,0.35,9,13,0.692,11,38,49,22,12,4,16,13,16.0
22018,1610612760,OKC,Oklahoma City Thunder,0021800498,2018-12-25,OKC @ HOU,L,240,109,43,98,0.439,9,30,0.3,14,21,0.667,18,34,52,23,12,11,15,22,-4.0
22018,1610612760,OKC,Oklahoma City Thunder,0021800493,2018-12-23,OKC vs. MIN,L,240,112,43,90,0.478,9,25,0.36,17,22,0.773,9,36,45,17,4,10,13,27,-2.0
22018,1610612760,OKC,Oklahoma City Thunder,0021800485,2018-12-22,OKC @ UTA,W,241,107,42,89,0.472,9,25,0.36,14,22,0.636,8,43,51,19,11,5,17,21,1.0
22018,1610612760,OKC,Oklahoma City Thunder,0021800466,2018-12-19,OKC @ SAC,W,241,132,51,102,0.5,13,32,0.406,17,27,0.63,18,48,66,27,8,6,17,24,19.0
22018,1610612760,OKC,Oklahoma City Thunder,0021800447,2018-12-17,OKC vs. CHI,W,242,121,43,89,0.483,8,21,0.381,27,33,0.818,17,32,49,24,14,2,19,21,25.0
22018,1610612760,OKC,Oklahoma City Thunder,0021800434,2018-12-15,OKC vs. LAC,W,239,110,42,90,0.467,9,22,0.409,17,24,0.708,9,31,40,26,13,7,11,20,6.0
22018,1610612760,OKC,Oklahoma City Thunder,0021800426,2018-12-14,OKC @ DEN,L,242,98,37,90,0.411,7,19,0.368,17,29,0.586,19,24,43,14,9,4,13,17,-11.0
22018,1610612760,OKC,Oklahoma City Thunder,0021800411,2018-12-12,OKC @ NOP,L,239,114,42,87,0.483,13,43,0.302,17,27,0.63,9,30,39,23,10,6,18,27,-4.0
22018,1610612760,OKC,Oklahoma City Thunder,0021800396,2018-12-10,OKC vs. UTA,W,239,122,43,85,0.506,8,21,0.381,28,39,0.718,12,31,43,25,12,2,17,26,9.0
22018,1610612760,OKC,Oklahoma City Thunder,0021800373,2018-12-07,OKC @ CHI,L,240,112,43,94,0.457,10,28,0.357,16,24,0.667,14,37,51,25,12,6,22,22,-2.0
22018,1610612760,OKC,Oklahoma City Thunder,0021800358,2018-12-05,OKC @ BKN,W,240,114,43,99,0.434,13,38,0.342,15,26,0.577,17,43,60,28,8,6,13,23,2.0
22018,1610612760,OKC,Oklahoma City Thunder,0021800343,2018-12-03,OKC @ DET,W,241,110,43,85,0.506,7,25,0.28,17,20,0.85,6,46,52,23,10,8,17,24,27.0
22018,1610612760,OKC,Oklahoma City Thunder,0021800325,2018-11-30,OKC vs. ATL,W,241,124,46,88,0.523,18,41,0.439,14,15,0.933,7,39,46,30,12,7,20,24,15.0
22018,1610612760,OKC,Oklahoma City Thunder,0021800313,2018-11-28,OKC vs. CLE,W,240,100,41,86,0.477,6,27,0.222,12,15,0.8,8,42,50,25,5,11,13,18,17.0
22018,1610612760,OKC,Oklahoma City Thunder,0021800282,2018-11-24,OKC vs. DEN,L,240,98,37,103,0.359,9,39,0.231,15,23,0.652,19,35,54,22,9,5,10,24,-7.0
22018,1610612760,OKC,Oklahoma City Thunder,0021800274,2018-11-23,OKC vs. CHA,W,240,109,41,93,0.441,11,33,0.333,16,24,0.667,11,35,46,24,6,2,14,18,5.0
22018,1610612760,OKC,Oklahoma City Thunder,0021800264,2018-11-21,OKC @ GSW,W,239,123,51,106,0.481,13,35,0.371,8,15,0.533,18,43,61,29,10,5,10,23,28.0
22018,1610612760,OKC,Oklahoma City Thunder,0021800247,2018-11-19,OKC @ SAC,L,240,113,45,108,0.417,12,41,0.293,11,16,0.688,13,40,53,22,8,3,13,22,-4.0
22018,1610612760,OKC,Oklahoma City Thunder,0021800233,2018-11-17,OKC @ PHX,W,240,110,38,85,0.447,7,24,0.292,27,32,0.844,14,38,52,17,9,7,18,20,10.0
22018,1610612760,OKC,Oklahoma City Thunder,0021800209,2018-11-14,OKC vs. NYK,W,240,128,51,95,0.537,16,33,0.485,10,12,0.833,13,34,47,32,11,7,16,21,25.0
22018,1610612760,OKC,Oklahoma City Thunder,0021800196,2018-11-12,OKC vs. PHX,W,241,118,43,92,0.467,13,27,0.481,19,20,0.95,12,30,42,23,12,6,13,15,17.0
22018,1610612760,OKC,Oklahoma City Thunder,0021800181,2018-11-10,OKC @ DAL,L,240,96,38,97,0.392,9,34,0.265,11,18,0.611,26,27,53,17,9,2,16,19,-15.0
22018,1610612760,OKC,Oklahoma City Thunder,0021800163,2018-11-08,OKC vs. HOU,W,240,98,36,81,0.444,9,37,0.243,17,24,0.708,13,39,52,18,10,4,14,16,18.0
22018,1610612760,OKC,Oklahoma City Thunder,0021800153,2018-11-07,OKC @ CLE,W,240,95,35,84,0.417,7,27,0.259,18,26,0.692,7,37,44,10,13,9,12,23,9.0
22018,1610612760,OKC,Oklahoma City Thunder,0021800144,2018-11-05,OKC vs. NOP,W,240,122,45,93,0.484,10,27,0.37,22,31,0.71,9,32,41,26,15,3,12,23,6.0
22018,1610612760,OKC,Oklahoma City Thunder,0021800119,2018-11-02,OKC @ WAS,W,238,134,49,86,0.57,15,32,0.469,21,26,0.808,7,31,38,34,13,5,13,20,23.0
22018,1610612760,OKC,Oklahoma City Thunder,0021800111,2018-11-01,OKC @ CHA,W,240,111,41,96,0.427,8,37,0.216,21,29,0.724,14,35,49,20,12,9,10,21,4.0
22018,1610612760,OKC,Oklahoma City Thunder,0021800103,2018-10-30,OKC vs. LAC,W,242,128,48,94,0.511,9,17,0.529,23,32,0.719,9,32,41,19,16,6,15,35,18.0
22018,1610612760,OKC,Oklahoma City Thunder,0021800085,2018-10-28,OKC vs. PHX,W,240,117,43,85,0.506,7,24,0.292,24,35,0.686,9,34,43,22,16,3,15,24,7.0
22018,1610612760,OKC,Oklahoma City Thunder,0021800065,2018-10-25,OKC vs. BOS,L,241,95,37,94,0.394,7,28,0.25,14,25,0.56,16,41,57,19,5,6,16,27,-6.0
22018,1610612760,OKC,Oklahoma City Thunder,0021800037,2018-10-21,OKC vs. SAC,L,240,120,46,104,0.442,9,39,0.231,19,30,0.633,18,33,51,23,11,9,18,29,-11.0
22018,1610612760,OKC,Oklahoma City Thunder,0021800025,2018-10-19,OKC @ LAC,L,240,92,34,95,0.358,7,33,0.212,17,23,0.739,15,37,52,18,5,4,12,29,-16.0
